,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Founders,Investor,Year
714,Cashfree,FinTech,Series B,35000000.0,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2015.0,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",2020
715,Credgenics,FinTech,Pre-series A,3000000.0,Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",2020
716,GeoIQ,AI,Seed,300000.0,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2018.0,"Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",2020
717,Country Delight,Dairy startup,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2015.0,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",2020
718,Quintype,Content management,Series A,3500000.0,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2014.0,Chirdeep Shetty,IIFL AMC,2020
719,CARS24,Retail,Series E,200000000.0,Haryana,CARS24 is an India-based platform for selling used cars.,2015.0,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",2020
720,Astrogate Labs,Spacetech,Venture - Series Unknown,,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,2017.0,,"Venture Catalysts, Speciale Invest",2020
721,Power Gummies,HealthTech,Bridge,,Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2018.0,Divij Bajaj,Venture Catalysts,2020
722,Cityflo,Transportation,Series A,7000000.0,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2015.0,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",2020
723,AlgoBulls,Trading platform,Venture - Series Unknown,200000.0,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2019.0,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,2020
